NOME;CATEGORIA;PRECO_NORMAL;PRECO_PROMO;URL_IMG;DESCRICAO
VINHO TINTO ALMA VIVA;tinto;1499.9;1499.9;https://fibo.promokit.com.br/images/empresa/27156db0-ff5a-11ef-b7e9-bfb76a6f1249.png;Os vinhos Almaviva são o resultado de uma parceria entre a Viña Concha y Toro, um dos maiores produtores de vinho chileno com prestígio histórico, e Château Mouton Rothschild. O objetivo desta parceria, seria criar um vinho Premium Franco-Chileno de qualidade excecional, que se viria a chamar Almaviva. O primeiro vinho a ser lançado com este conceito foi em 1998, e logo de seguida, ascenderam ao sucesso internacional. Este é um vinho produzido a partir das castas Cabernet Sauvignon, Cabernet Franc e Carménère dos 50 hectares de vinha que Concha y Toro possui em Puente Alto, seguindo a enologia clássica francesa. Nesta área, o terroir é excecional para produzir vinhos de grande caráter, prontos para competir com os melhores vinhos tintos do mundo.
CABALLO LOCO NUMBER 21;tinto;359.9;359.9;https://fibo.promokit.com.br/images/empresa/5a8cbde0-025a-11ef-a367-cdc92a7cba30.png;Vermelho violeta escuro. Aromas complexo e intenso com notas de cassis, café e nuances de especiarias como canela, baunilha e cravo. Paladar pleno, redondo, complexo, saboroso com taninos macios e final longo e persistente. Grande potencial de guarda.
CABALLO LOCO SAGRADA FAMILIA;tinto;189.9;189.9;https://fibo.promokit.com.br/images/empresa/4a6cab90-025b-11ef-8dd7-a5d688447146.png;Aroma complexo de frutas negras e vermelhas seguidas de notas suaves de cedro e tabaco. Palato cremoso, frutado e mineral. Acidez equilibrada e taninos sedosos.
VINHO TT CARMEN VINTAGES CABERNET;tinto;89.9;89.9;https://fibo.promokit.com.br/images/empresa/d7cc1f80-002a-11ef-8ebc-f59ed7615ab4.png;Carmen Vintages Blend é um vinho icônico, Um blend das melhores safras, cada qual com um potencial distinto que provocam e instigam a uma grata e inovadora surpresa.
VINHO TINTO CHILANO RED BLEND;tinto;17.9;17.9;https://fibo.promokit.com.br/images/empresa/51cd0100-01b6-11ef-9bb7-9761c4874d6c.png;Vinho tinto elaborado com uma mistura de uvas, com aroma frutado e de especiarias, é um vinho para o dia a dia, de corpo médio e com boa acidez. Dono de um aroma rico em frutas com notas de morangos frescos, amoras, mirtilos, framboesas e um toque de especiarias. Paladar: De corpo médio com boa presença dos taninos, possui uma boa acidez e estrutura equilibrada. Uvas: 85% Cabernet Sauvignon e 15% Syrah Elaboração: 3 meses em tanques de aço inox. Graduação Alcoólica 13% vol. Temp. de Serviço: 15°C Harmonização: É excelente para acompanhar carnes vermelhas, queijos e massas com molho vermelho. Origem: Valle Central - Chile
VINHO TT DON MELCHOR 2021;tinto;999.9;999.9;https://fibo.promokit.com.br/images/empresa/1a1d1870-1841-11ef-a1d9-8b254d0d70f6.png;O Vinho Don Melchor 2019 é um verdadeiro ícone do Chile e não poderia ser menos, já que leva a assinatura da Viña Concha y Toro, um dos grupos vinícolas mais importantes do país. Além disso, quem cuida da enologia é Enrique Tirado! Produzido um corte das uvas Cabernet Sauvignon e Cabernet Franc, cultivadas a 650 metros de altitude, sendo, em sua maioria, oriundas de vinhas velhas, com trinta anos de idade média, no Vinhedo Don Melchor, dentro da Denominação de Origem (D.O.) Puente Alto, na região vitivinícola do Vale do Maipo. De coloração rubi intensa, revela, no nariz, um bouquet aromático elegante, onde destacam-se aromas de frutas vermelhas. Em boca, o Vinho Don Melchor 2019 é complexo, contando com taninos refinados e um final longo e persistente. Esse rótulo desfruta de um excelente potencial de guarda, podendo envelhecer por até um quarto de século na garrafa!
VINHO TINTO EPU;tinto;389.9;389.9;https://fibo.promokit.com.br/images/empresa/fce748f0-dc7e-11ee-944f-b56823352349.png;COMPOSIÇÃO DA UVA: Cabernet Sauvignon (84%), Carménère (13%), Merlot (2%), Cabernet Franc (1%) AMADURECIMENTO: 12 meses em barricas de carvalho francês TEMPERATURA DE SERVIÇO: 16 a 18°C. GRADUAÇÃO ALCÓOLICA: 15% vol. SAFRA: 2019. POTÊNCIAL DE GUARDA: +10 Anos
VINHO TINTO GANDOLINI CABERNET SAUVIGNON;tinto;679.9;679.9;https://fibo.promokit.com.br/images/empresa/b613d140-fb33-11ee-9b6c-01d3d8ad4255.png;Stefano Gandolini se dedica a fazer um único vinho, Las 3 Marias Vineyards Cabernet Sauvignon. É produzido em uma escala limitada que permite manter os mais altos padrões de qualidade.
Marques de Casa Concha Heritage | 94 DES;tinto;199.9;199.9;https://fibo.promokit.com.br/images/empresa/6a608b80-fb33-11ee-b7f3-c5800d3916c6.png;Criação de Marcelo Papa, Heritage é o irmão mais novo do Don Melchor. É um vinho de 16 meses em carvalho que mostra enorme concentração de sabores e uma textura sedosa emoldurada por uma estrutura tânica firme. Pontuações safra 2020: – 94 Descorchados 2021 – 93 Tim Atkin
MONTES ALPHA CABERNET SAUVIGNON;tinto;139.9;139.9;https://fibo.promokit.com.br/images/empresa/0372b400-fe7d-11ee-9a9d-f775a9de5a57.png;"Verdadeiro clássico da América do Sul, o Montes Alpha foi o primeiro grande tinto chileno, inspirado nos melhores vinhos de Bordeaux. Foi eleito o ""melhor Bordeaux chileno"" pela revista Decanter, e equivale em qualidade a um ""cru bourgeois"" de preço três ou quatro vezes maior! Concentrado e refinado, com muita estrutura, camadas e mais camadas de fruta madura e um elegante final de boca."
