nome;precoNormal;precoPromo;desc;categoria;img
VINHO TINTO ALMA VIVA;1899.9;1499.9;Os vinhos Almaviva são o resultado de uma parceria entre a Viña Concha y Toro, um dos maiores produtores de vinho chileno com prestígio histórico, e Château Mouton Rothschild. O objetivo desta parceria, seria criar um vinho Premium Franco-Chileno de qualidade excecional, que se viria a chamar Almaviva. O primeiro vinho a ser lançado com este conceito foi em 1998, e logo de seguida, ascenderam ao sucesso internacional. Este é um vinho produzido a partir das castas Cabernet Sauvignon, Cabernet Franc e Carménère dos 50 hectares de vinha que Concha y Toro possui em Puente Alto, seguindo a enologia clássica francesa. Nesta área, o terroir é excecional para produzir vinhos de grande caráter, prontos para competir com os melhores vinhos tintos do mundo.;tinto;https://fibo.promokit.com.br/images/empresa/27156db0-ff5a-11ef-b7e9-bfb76a6f1249.png
CABALLO LOCO NUMBER 21;429.9;359.9;Vermelho violeta escuro. Aromas complexo e intenso com notas de cassis, café e nuances de especiarias como canela, baunilha e cravo. Paladar pleno, redondo, complexo, saboroso com taninos macios e final longo e persistente. Grande potencial de guarda.;tinto;https://fibo.promokit.com.br/images/empresa/5a8cbde0-025a-11ef-a367-cdc92a7cba30.png
CABALLO LOCO SAGRADA FAMILIA;279.9;189.9;Aroma complexo de frutas negras e vermelhas seguidas de notas suaves de cedro e tabaco. Palato cremoso, frutado e mineral. Acidez equilibrada e taninos sedosos.;tinto;https://fibo.promokit.com.br/images/empresa/4a6cab90-025b-11ef-8dd7-a5d688447146.png
VINHO TT CARMEN VINTAGES CABERNET;109.9;89.9;Carmen Vintages Blend é um vinho icônico, Um blend das melhores safras, cada qual com um potencial distinto que provocam e instigam a uma grata e inovadora surpresa.;tinto;https://fibo.promokit.com.br/images/empresa/d7cc1f80-002a-11ef-8ebc-f59ed7615ab4.png
VINHO TINTO CHILANO RED BLEND;32.9;17.9;Vinho tinto elaborado com uma mistura de uvas, com aroma frutado e de especiarias, é um vinho para o dia a dia, de corpo médio e com boa acidez. Dono de um aroma rico em frutas com notas de morangos frescos, amoras, mirtilos, framboesas e um toque de especiarias. Paladar: De corpo médio com boa presença dos taninos, possui uma boa acidez e estrutura equilibrada. Uvas: 85% Cabernet Sauvignon e 15% Syrah Elaboração: 3 meses em tanques de aço inox. Graduação Alcoólica 13% vol. Temp. de Serviço: 15°C Harmonização: É excelente para acompanhar carnes vermelhas, queijos e massas com molho vermelho. Origem: Valle Central - Chile;tinto;https://fibo.promokit.com.br/images/empresa/51cd0100-01b6-11ef-9bb7-9761c4874d6c.png
VINHO TT DON MELCHOR 2021;1299.9;999.9;O Vinho Don Melchor 2019 é um verdadeiro ícone do Chile e não poderia ser menos, já que leva a assinatura da Viña Concha y Toro, um dos grupos vinícolas mais importantes do país. Além disso, quem cuida da enologia é Enrique Tirado! Produzido um corte das uvas Cabernet Sauvignon e Cabernet Franc, cultivadas a 650 metros de altitude, sendo, em sua maioria, oriundas de vinhas velhas, com trinta anos de idade média, no Vinhedo Don Melchor, dentro da Denominação de Origem (D.O.) Puente Alto, na região vitivinícola do Vale do Maipo. De coloração rubi intensa, revela, no nariz, um bouquet aromático elegante, onde destacam-se aromas de frutas vermelhas. Em boca, o Vinho Don Melchor 2019 é complexo, contando com taninos refinados e um final longo e persistente. Esse rótulo desfruta de um excelente potencial de guarda, podendo envelhecer por até um quarto de século na garrafa!;tinto;https://fibo.promokit.com.br/images/empresa/1a1d1870-1841-11ef-a1d9-8b254d0d70f6.png
VINHO TINTO EPU;429.9;389.9;COMPOSIÇÃO DA UVA: Cabernet Sauvignon (84%), Carménère (13%), Merlot (2%), Cabernet Franc (1%) AMADURECIMENTO: 12 meses em barricas de carvalho francês TEMPERATURA DE SERVIÇO: 16 a 18°C. GRADUAÇÃO ALCÓOLICA: 15% vol. SAFRA: 2019. POTÊNCIAL DE GUARDA: +10 Anos;tinto;https://fibo.promokit.com.br/images/empresa/fce748f0-dc7e-11ee-944f-b56823352349.png
VINHO TINTO GANDOLINI CABERNET SAUVIGNON;790;679.9;Stefano Gandolini se dedica a fazer um único vinho, Las 3 Marias Vineyards Cabernet Sauvignon. É produzido em uma escala limitada que permite manter os mais altos padrões de qualidade.;tinto;https://fibo.promokit.com.br/images/empresa/b613d140-fb33-11ee-9b6c-01d3d8ad4255.png
Marques de Casa Concha Heritage | 94 DES;248.9;199.9;Criação de Marcelo Papa, Heritage é o irmão mais novo do Don Melchor. É um vinho de 16 meses em carvalho que mostra enorme concentração de sabores e uma textura sedosa emoldurada por uma estrutura tânica firme. Pontuações safra 2020: – 94 Descorchados 2021 – 93 Tim Atkin;tinto;https://fibo.promokit.com.br/images/empresa/6a608b80-fb33-11ee-b7f3-c5800d3916c6.png
MONTES ALPHA CABERNET SAUVIGNON;179.9;139.9;"Verdadeiro clássico da América do Sul, o Montes Alpha foi o primeiro grande tinto chileno, inspirado nos melhores vinhos de Bordeaux. Foi eleito o ""melhor Bordeaux chileno"" pela revista Decanter, e equivale em qualidade a um ""cru bourgeois"" de preço três ou quatro vezes maior! Concentrado e refinado, com muita estrutura, camadas e mais camadas de fruta madura e um elegante final de boca.";tinto;https://fibo.promokit.com.br/images/empresa/0372b400-fe7d-11ee-9a9d-f775a9de5a57.png
VINHO TINTO PURPLE ANGEL;839.9;749.9;Purple Angel by Montes é um vinho chileno que surpreende. Rico em aromas de frutas negras, especiarias e café, possui paladar equilibrado e sedoso. Perfeito para harmonizar com carnes e pratos típicos.;tinto;https://fibo.promokit.com.br/images/empresa/b57c9760-fa90-11ee-b7f3-c5800d3916c6.png
VINHO TT SANTA RITA CASA REAL CABERNET SAUVIGNON;899.9;799.9;Santa Rita Casa Real Vinho Chileno. O vinho Santa Rita é produzido nos mais diversos tipos de terroirs chilenos, e com a mais alta rigorosidade de qualidade na seleção das suas uvas. Com a intenção de garantir variedade e qualidade na diversificação geográfica, a marca desenvolveu ao longo dos seus 120 anos e mais de 3.000 hectares de vinhas, a capacidade de criar uma vasta gama de vinhos de características marcantes e elevadas.;tinto;https://fibo.promokit.com.br/images/empresa/2292a5e0-ff1b-11ee-a392-e5f577d80506.png
VINHO CABALLO LOCO LIMARI;279.9;189.9;O Vinho Caballo Loco Grand Cru Limarí leva a assinatura da Viña Valdivieso, renomada vínicola chilena, que goza de grande sucesso com a linha Caballo Loco. Produzido com a uva Syrah, oriunda de uma das melhores regiões vitivinícolas para o cultivo dessa variedade, o Vale de Limarí, no Chile! De coloração granada intensa com reflexos violáceos, no nariz um bouquet aromático elegante, onde destacam-se aromas de especiarias, como pimenta-preta, notas de frutas negras, além de toques de oliva. Um Vinho Tinto fresco e com grande presença mineral. Em boca, conta com bom volume, taninos refinados e um final longo. Esse é um rótulo que pode ser apreciado agora, mas que apresenta um potencial de guarda de até oito anos;tinto;https://fibo.promokit.com.br/images/empresa/3443c1f0-025b-11ef-aa27-fb99db8b5586.png
VINHO CABALLO LOCO MAIPO;279.9;189.9;Sobre o vinho: Um Caballo Loco Grand Cru e safrado elaborado com os melhores frutos vindos do Vale de Maipo. O resultado é um tinto complexo, intenso, com taninos macios e acidez marcante, que proporcionam ao vinho um grande poder de guarda.;tinto;https://fibo.promokit.com.br/images/empresa/fa6744d0-fceb-11ee-8801-7327654d4154.png
VINHO TT CASAS DEL TOQUI CABERNET SAUVIGNON;79.9;59.9;A linha Gran Toqui da prestigiada vinícola chilena Casas del Toqui representa o vinho do Grande Chefe com exemplares imponentes, marcantes e bem estruturados de uvas cuidadosamente selecionadas do Alto Totihue, D.O. Valle del Cachapoal. As uvas provêm das melhores vinhas da família, selecionadas especialmente pelo Enólogo, as macerações são longas, procurando, assim, a maior extração possível e a complexidade única que o Vale do Alto Cachapoal pode oferecer. Este exemplar teve 90% do vinho em barricas americanas e francesas durante 12 meses para agregar maior corpo e complexidade à bebida, resultando um vinho expressivo com as características naturais da uva em equilíbrio com as nuances da barrica. Um vinho potente, bem estruturado e marcante que expressa com autenticidade a Cabernet Sauvignon neste terroir! Esta safra recebeu 90 pontos Wine Enthusiast;tinto;https://fibo.promokit.com.br/images/empresa/6ac5d680-b427-11f0-aec7-eb7300ae6daa.png
VINHO TINTO LA PIU BELLE;389.9;359.9;O Vinho Tinto Vik La Piu Belle , uma verdadeira obra-prima da vinicultura contemporânea. Originário da renomada Vik Wine, localizada no deslumbrante Vale del Cachapoal, no Chile, este exemplar encapsula a dedicação incansável da vinícola em buscar a excelência em cada taça. Ao servir o Vik La Piu Belle , sua tonalidade rubi intenso já revela pistas sobre a riqueza que está por vir. A densidade da cor sugere uma maturidade excepcional das uvas, resultando em um vinho que promete uma experiência sensorial única.;tinto;https://fibo.promokit.com.br/images/empresa/10aa2f60-0014-11f0-9615-6770c85e1b53.png
